Dataset Category,Model,Top-5 Accuracy,Accuracy,MCC,F1 Score,Precision,Recall
IO,RandomForest,0.881069774391155,0.653966831017481,0.652126965186694,0.6498426008735604,0.6632286436456182,0.653966831017481
IO,ExtraTrees,0.8715075451964739,0.6464963394591364,0.6446178943470419,0.6413158668959515,0.6548367264249949,0.6464963394591364
IO,LogisticRegression,0.8222023009114,0.523980277902286,0.5214584677329217,0.5142753760104462,0.5284744003261072,0.523980277902286
IO,SVM,0.849544300014941,0.5350366054086358,0.5327029742074763,0.5233883177168067,0.550345597234996,0.5350366054086358
IO,XGBoost,0.8683699387419692,0.6329000448229494,0.6308976848508927,0.6321768766209899,0.6412338536890183,0.6329000448229494
IO,MLPClassifier,0.9067682653518602,0.6627820110563275,0.6609821189940115,0.659991648765474,0.6735562082082407,0.6627820110563275
IO,DecisionTree,0.5448976542656507,0.5341401464216345,0.5315826936513769,0.5349216262206496,0.5434496241331179,0.5341401464216345
IO,KNN,0.7050649932765576,0.4356790676826535,0.4327457060272966,0.4335486770131741,0.4598976724210626,0.4356790676826535
IO,NaiveBayes,0.6453010608098013,0.3239205139698192,0.32092220220359363,0.2767808648324587,0.30750295242920245,0.3239205139698192
