Num_Units,Dropout_Rate,Accuracies,Average_Accuracy
128,0.5,"[24.23427402973175, 22.351710498332977, 24.46204423904419, 25.552898645401, 22.38493710756302]",23.797172904014587
128,0.3,"[30.38995862007141, 30.106079578399658, 29.63239550590515, 30.02091944217682, 31.829050183296204]",30.39568066596985
256,0.5,"[29.76243793964386, 29.822203516960144, 30.55887520313263, 30.274954438209534, 29.63239550590515]",30.010173320770264
256,0.3,"[35.6790691614151, 38.03974390029907, 38.20980191230774, 36.34189963340759, 36.969515681266785]",37.04800605773926
