Num_Filters,Kernel_Size,Dropout_Rate,Learning_Rate,Accuracies,Average_Accuracy
32,3,0.3,0.001,"[63.290005922317505, 63.76811861991882, 64.64434862136841, 64.07650709152222, 64.65929746627808]",64.087655544281
32,5,0.3,0.001,"[63.69341015815735, 64.03705477714539, 64.73401188850403, 64.36042785644531, 65.09264707565308]",64.38351035118103
64,3,0.5,0.001,"[64.54504728317261, 65.53115248680115, 64.3753707408905, 66.09384417533875, 65.46623110771179]",65.20232915878296
64,5,0.5,0.001,"[64.5898699760437, 64.94845151901245, 65.03287553787231, 65.51105976104736, 65.82486629486084]",65.18142461776733
128,3,0.3,0.01,"[48.72254729270935, 49.992528557777405, 50.68739056587219, 48.161983489990234, 51.165568828582764]",49.74600374698639
128,5,0.5,0.01,"[39.77289795875549, 42.04392731189728, 42.18469858169556, 42.46861934661865, 31.933653354644775]",39.68075931072235
