PCA Components,Model,Top-5 Accuracy,Accuracy,MCC,F1 Score,Precision,Recall
5,RandomForest,0.8456869597204341,0.5159095089203605,0.5130268983488301,0.5105770753408415,0.5181418945231084,0.5159095089203605
5,ExtraTrees,0.8436637851756483,0.5223468824719515,0.5195173090961914,0.5151144245935131,0.5213397006092271,0.5223468824719515
5,LogisticRegression,0.7458157071914658,0.35240022070995036,0.3487488642223986,0.3229350062741154,0.3361816939052713,0.35240022070995036
5,SVM,0.8447673349273497,0.45521427257678865,0.45232703029238586,0.42769201337687085,0.45790615730246415,0.45521427257678865
5,XGBoost,0.8199374655140702,0.4783888173625161,0.47525388609578273,0.47705465185046253,0.48591430111308154,0.4783888173625161
5,MLPClassifier,0.8615045061614861,0.5159095089203605,0.5133120187463827,0.5020273204280581,0.5249779377748468,0.5159095089203605
5,DecisionTree,0.4346146772116976,0.41750965606032736,0.4140054629831197,0.4183652928453726,0.42651763958627126,0.41750965606032736
5,KNN,0.7616332536325179,0.5081846606584514,0.5053472257021351,0.5023933202138365,0.5166232014229971,0.5081846606584514
5,NaiveBayes,0.6680154496965238,0.32223652749678133,0.3189657644902793,0.26725114550141027,0.2828308972334735,0.32223652749678133
6,RandomForest,0.855251057568512,0.5331984550303476,0.5304229600571154,0.527935317445739,0.5350761233975446,0.5331984550303476
6,ExtraTrees,0.8563546073202134,0.5335663049475814,0.5307912925803846,0.5275352215368115,0.5343884576276758,0.5335663049475814
6,LogisticRegression,0.7664153025565569,0.37428729078535955,0.37074352074032313,0.3481988283445398,0.36373922294307065,0.37428729078535955
6,SVM,0.8624241309545705,0.4796762920728343,0.4768693172118834,0.45584770493223226,0.4785607374331706,0.4796762920728343
6,XGBoost,0.8374103365826743,0.502482986941328,0.4994990264399165,0.5014093627174152,0.5113407701758685,0.502482986941328
6,MLPClassifier,0.882288026485194,0.5368769542026853,0.5342989775051243,0.5273857747450867,0.5497058406219187,0.5368769542026853
6,DecisionTree,0.4412359757219055,0.42302740481883394,0.41955529953788273,0.4244370436100971,0.43272739527368254,0.42302740481883394
6,KNN,0.7689902519771933,0.5140702593341917,0.5112246815787689,0.5098385560608008,0.5228346913449065,0.5140702593341917
6,NaiveBayes,0.6906382196064006,0.3305131506345411,0.32729578145130445,0.2777373036283713,0.30434705824024005,0.3305131506345411
7,RandomForest,0.869597204340629,0.5574765495677764,0.554839834472479,0.5528842667290806,0.5604905801738469,0.5574765495677764
7,ExtraTrees,0.8670222549199926,0.5536141254368218,0.5509632294541333,0.5482119036668224,0.5555793774572776,0.5536141254368218
7,LogisticRegression,0.7796578995769726,0.3884495125988597,0.38497628856765165,0.3638869091600374,0.3760534059879742,0.3884495125988597
7,SVM,0.8740114033474342,0.4988044877689903,0.4961077803867161,0.4780974178998919,0.5020380357616385,0.4988044877689903
7,XGBoost,0.8423763104653301,0.5142541842928086,0.5113477106398174,0.5141471646842839,0.5256300661321188,0.5142541842928086
7,MLPClassifier,0.891852124333272,0.5554533750229906,0.5529584614710854,0.5478166587654514,0.5667860120949028,0.5554533750229906
7,DecisionTree,0.4476733492734964,0.43093617803935996,0.4275170196602852,0.433018448439505,0.442515193902283,0.43093617803935996
7,KNN,0.7883023726319661,0.5273128563546073,0.5245490578934084,0.5234303381416037,0.53603464420379,0.5273128563546073
7,NaiveBayes,0.70424866654405,0.33915762368953467,0.3359290958571975,0.29038519915808947,0.305639958353078,0.33915762368953467
8,RandomForest,0.8703329041750966,0.550119551223101,0.5474347857261879,0.544730349012619,0.5516813914033628,0.550119551223101
8,ExtraTrees,0.8637116056648887,0.5561890748574582,0.5535746691062373,0.5513027044819937,0.5608044870229517,0.5561890748574582
8,LogisticRegression,0.7886702225491999,0.4075777082950156,0.4041894993094159,0.3851012117233545,0.3915893128753322,0.4075777082950156
8,SVM,0.8745631782232849,0.5002758874379253,0.4975932203578457,0.47995974825811455,0.5044035955246601,0.5002758874379253
8,XGBoost,0.8464226595549016,0.5190362332168476,0.5161395754957738,0.517919810772829,0.5263125295199641,0.5190362332168476
8,MLPClassifier,0.8984734228434799,0.572374471215744,0.56997665898544,0.5636242252047303,0.5788992674441961,0.572374471215744
8,DecisionTree,0.45355894794923673,0.4349825271289314,0.4316080236175199,0.4354892072790204,0.44353680873159446,0.4349825271289314
8,KNN,0.7886702225491999,0.5295199558580099,0.5267701945058658,0.5257331763997716,0.5382705258765667,0.5295199558580099
8,NaiveBayes,0.7003862424130954,0.33713444914474894,0.33389064702972615,0.2915799196056188,0.3165403229962439,0.33713444914474894
9,RandomForest,0.8666544050027589,0.5539819753540556,0.5513317389036201,0.5487154402231679,0.5560902982027772,0.5539819753540556
9,ExtraTrees,0.8666544050027589,0.55490160014714,0.5522643562425578,0.5491563176201267,0.5569847995392734,0.55490160014714
9,LogisticRegression,0.7884862975905831,0.39948501011587273,0.396057745326087,0.37784203086332624,0.3862602512411235,0.39948501011587273
9,SVM,0.871252528968181,0.49733308810005517,0.4946018704622934,0.47719776861984153,0.5024257186581284,0.49733308810005517
9,XGBoost,0.8405370608791614,0.5142541842928086,0.511334651835165,0.5132287215682307,0.5217605724356066,0.5142541842928086
9,MLPClassifier,0.8979216479676292,0.5699834467537245,0.5676429753128679,0.5609440360690383,0.5895444292176992,0.5699834467537245
9,DecisionTree,0.4454662497700938,0.4268898289497885,0.4234528244531937,0.4276101747150115,0.43684048685159366,0.4268898289497885
9,KNN,0.7612654037152842,0.4916314143829318,0.4886568934061976,0.4869702045248788,0.5007865031316141,0.4916314143829318
