Num_Units,Dropout_Rate,Accuracies,Average_Accuracy
128,0.5,"[54.75870370864868, 56.29762411117554, 54.91631627082825, 55.1105797290802, 55.5140495300293]",55.31945466995239
128,0.3,"[63.09577226638794, 62.61765956878662, 62.22354769706726, 63.73281478881836, 64.21099901199341]",63.17615866661072
256,0.5,"[60.929328203201294, 62.37860321998596, 61.416614055633545, 62.79139518737793, 62.044233083724976]",61.91203474998474
256,0.3,"[67.0401930809021, 67.90676712989807, 66.94560647010803, 69.08248662948608, 68.1111752986908]",67.81724572181702
