Num_Filters,Kernel_Size,Activation,Dropout_Rate,Learning_Rate,Accuracies,Average_Accuracy
32,3,relu,0.3,0.001,"[51.53469443321228, 51.250964403152466, 52.263641357421875, 51.43815279006958, 50.93511939048767]",51.484514474868774
64,3,relu,0.5,0.001,"[53.22414040565491, 52.68248915672302, 52.147555351257324, 51.567137241363525, 51.760607957839966]",52.27638602256775
64,5,tanh,0.3,0.001,"[47.9623407125473, 48.15579056739807, 47.014057636260986, 47.8008508682251, 47.517091035842896]",47.69002616405487
128,3,sigmoid,0.5,0.01,"[0.4771730862557888, 0.515862787142396, 0.5159293301403522, 0.49013285897672176, 0.5288275424391031]",0.5055851209908724
